case_id,description,assistance_category,people_affected,country,governorate,city,latitude,longitude,severity,urgency,required_resources,estimated_funding,current_funding,submission_date,status,priority
CASE-0001,Families affected by a house fire require staple food supplies for the coming weeks.,Food,10,Egypt,Alexandria,Alexandria,31.208923,29.893826,Low,Critical,food parcels; cooking staples; infant nutrition,3929.40,861.57,2026-07-14,Active,High
CASE-0002,Families need clean drinking water and storage containers after flash flooding affected local supplies.,Water,46,Tunisia,Tunis,Tunis,36.806415,10.197937,Medium,Medium,clean water; filtration kits; storage containers,24058.40,4976.64,2026-06-06,Active,Medium
CASE-0003,A 10-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,10,Egypt,Aswan,Aswan,24.072521,32.877847,Medium,Medium,temporary shelter; repair materials; mattresses,7072.00,5461.28,2025-10-07,Funded,Medium
CASE-0004,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,7,Jordan,Amman,Amman,31.926788,35.928408,High,Medium,seasonal clothing; blankets; hygiene kits,4059.44,2458.47,2025-06-21,Active,Medium
CASE-0005,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,114,Egypt,Alexandria,Alexandria,31.190791,29.938245,High,Critical,clean water; filtration kits; storage containers,77579.04,0.00,2025-05-15,Active,Critical
CASE-0006,A 10-person family needs temporary shelter after earthquake damage made their home unsafe.,Emergency Housing,10,Jordan,Irbid,Irbid,32.559875,35.833105,Medium,Medium,temporary shelter; repair materials; mattresses,7398.40,3449.35,2025-10-26,Active,Medium
CASE-0007,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,13,Jordan,Irbid,Irbid,32.572991,35.863619,Critical,Critical,medicines; clinic visits; medical transport,10044.80,733.05,2026-08-07,Active,Critical
CASE-0008,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,74,Lebanon,Beirut,Beirut,33.878685,35.482629,Medium,Critical,clean water; filtration kits; storage containers,23465.44,5923.54,2025-05-08,Active,High
CASE-0009,"A family needs medical assistance after local displacement, including treatment and essential supplies.",Medical Aid,4,Egypt,Aswan,Aswan,24.101005,32.8996,Medium,High,medicines; clinic visits; medical transport,3209.60,2725.36,2025-09-30,Funded,Medium
CASE-0010,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,133,Egypt,Aswan,Aswan,24.102542,32.898289,Critical,Critical,clean water; filtration kits; storage containers,78868.88,0.00,2026-06-22,Active,Critical
CASE-0011,"Families need seasonal clothing, blankets, and basic hygiene items after a severe storm.",Clothing,3,Jordan,Amman,Amman,31.968888,35.941108,Low,Low,seasonal clothing; blankets; hygiene kits,1784.16,1548.64,2025-07-17,Funded,Low
CASE-0012,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,33,Lebanon,Beirut,Beirut,33.87986,35.498055,High,High,seasonal clothing; blankets; hygiene kits,17495.94,0.00,2025-04-21,Active,High
CASE-0013,"Residents affected by flash flooding need urgent medicines, examinations, and transport to care.",Medical Aid,29,Lebanon,Beirut,Beirut,33.870423,35.49427,High,Low,medicines; clinic visits; medical transport,20634.46,3891.66,2025-11-06,Active,High
CASE-0014,Children need school materials and fee support after a severe storm interrupted household income.,Education,9,Egypt,Cairo,Cairo,30.057889,31.229496,Low,High,school kits; uniforms; learning materials,5023.26,4958.94,2026-03-28,Completed,Low
CASE-0015,Housing repairs and safe temporary accommodation are needed following a house fire.,Emergency Housing,9,Tunisia,Tunis,Tunis,36.800283,10.166975,Low,Medium,temporary shelter; repair materials; mattresses,2973.60,1553.78,2025-06-18,Active,Medium
CASE-0016,"Residents affected by flash flooding need urgent medicines, examinations, and transport to care.",Medical Aid,8,Egypt,Cairo,Cairo,30.022807,31.224093,Medium,High,medicines; clinic visits; medical transport,6881.60,2614.43,2025-08-26,Active,Medium
CASE-0017,"Families need seasonal clothing, blankets, and basic hygiene items after earthquake damage.",Clothing,12,Lebanon,Beirut,Beirut,33.875474,35.497089,Medium,Low,seasonal clothing; blankets; hygiene kits,7033.92,3040.65,2026-07-11,Active,Medium
CASE-0018,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,11,Jordan,Irbid,Irbid,32.555488,35.83603,Low,High,medicines; clinic visits; medical transport,5968.44,343.65,2026-02-19,Active,High
CASE-0019,A 6-person family needs temporary shelter after a house fire made their home unsafe.,Emergency Housing,6,Egypt,Alexandria,Alexandria,31.199556,29.906359,Medium,Medium,temporary shelter; repair materials; mattresses,3166.08,3025.50,2026-01-31,Completed,Low
CASE-0020,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,36,Egypt,Aswan,Aswan,24.073071,32.883284,High,High,medicines; clinic visits; medical transport,24171.84,1551.13,2025-03-28,Active,High
CASE-0021,People displaced by local displacement require clothing and blankets while they recover.,Clothing,56,Jordan,Irbid,Irbid,32.563171,35.863115,Critical,Low,seasonal clothing; blankets; hygiene kits,42869.28,2066.12,2026-08-24,Active,High
CASE-0022,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,26,Egypt,Giza,6th of October,29.95348,30.906112,High,Low,seasonal clothing; blankets; hygiene kits,22046.64,296.13,2025-05-23,Active,Medium
CASE-0023,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,45,Egypt,Aswan,Aswan,24.072811,32.912882,High,Low,medicines; clinic visits; medical transport,15107.40,5050.61,2026-06-27,Active,Medium
CASE-0024,Families need clean drinking water and storage containers after local displacement affected local supplies.,Water,32,Tunisia,Tunis,Tunis,36.797002,10.183847,Medium,Low,clean water; filtration kits; storage containers,21721.92,1760.62,2025-06-23,Active,Medium
CASE-0025,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,8,Egypt,Giza,6th of October,29.959065,30.901336,Low,High,medicines; clinic visits; medical transport,3186.00,1787.01,2025-11-08,Active,Medium
CASE-0026,Children need school materials and fee support after a house fire interrupted household income.,Education,34,Egypt,Cairo,Cairo,30.036816,31.237142,High,Medium,school kits; uniforms; learning materials,23167.76,2103.66,2025-06-25,Active,High
CASE-0027,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,95,Egypt,Alexandria,Alexandria,31.204516,29.894556,High,Critical,clean water; filtration kits; storage containers,65758.00,3696.45,2025-07-10,Active,Critical
CASE-0028,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,12,Jordan,Irbid,Irbid,32.57926,35.84025,Medium,Medium,seasonal clothing; blankets; hygiene kits,6348.48,3437.87,2025-06-23,Active,Medium
CASE-0029,A 2-person household needs food parcels after earthquake damage disrupted its income.,Food,2,Lebanon,Beirut,Beirut,33.879255,35.516437,Medium,High,food parcels; cooking staples; infant nutrition,2619.36,2572.03,2025-07-27,Completed,Low
CASE-0030,Housing repairs and safe temporary accommodation are needed following local displacement.,Emergency Housing,10,Jordan,Irbid,Irbid,32.546408,35.857982,Medium,Medium,temporary shelter; repair materials; mattresses,6378.40,2208.55,2025-10-31,Active,Medium
CASE-0031,Housing repairs and safe temporary accommodation are needed following local displacement.,Emergency Housing,6,Jordan,Irbid,Irbid,32.578532,35.832764,Low,High,temporary shelter; repair materials; mattresses,3547.08,1240.55,2026-07-29,Active,Medium
CASE-0032,People displaced by local displacement require clothing and blankets while they recover.,Clothing,9,Egypt,Giza,6th of October,29.967133,30.936339,Low,Medium,seasonal clothing; blankets; hygiene kits,4672.80,4671.33,2025-10-14,Completed,Low
CASE-0033,"Families need seasonal clothing, blankets, and basic hygiene items after local displacement.",Clothing,32,Jordan,Irbid,Irbid,32.540436,35.848787,High,Critical,seasonal clothing; blankets; hygiene kits,14740.88,0.00,2026-08-07,Active,High
CASE-0034,People displaced by local displacement require clothing and blankets while they recover.,Clothing,51,Egypt,Alexandria,Alexandria,31.18113,29.934477,High,Critical,seasonal clothing; blankets; hygiene kits,26126.10,4198.72,2025-09-11,Active,Critical
CASE-0035,Families affected by a severe storm require staple food supplies for the coming weeks.,Food,8,Egypt,Cairo,Cairo,30.041989,31.21195,Medium,High,food parcels; cooking staples; infant nutrition,4596.80,2143.50,2026-01-23,Active,Medium
CASE-0036,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,36,Tunisia,Tunis,Tunis,36.810674,10.158435,High,Low,medicines; clinic visits; medical transport,14192.64,0.00,2026-02-02,Active,High
CASE-0037,Children need school materials and fee support after earthquake damage interrupted household income.,Education,7,Egypt,Cairo,Cairo,30.034132,31.223927,Low,Medium,school kits; uniforms; learning materials,2639.66,1208.81,2025-05-07,Active,Low
CASE-0038,Children need school materials and fee support after flash flooding interrupted household income.,Education,2,Egypt,Alexandria,Alexandria,31.176073,29.941636,Medium,Medium,school kits; uniforms; learning materials,2241.28,2129.20,2025-05-28,Funded,Low
CASE-0039,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,79,Lebanon,Beirut,Beirut,33.885648,35.510886,Medium,High,clean water; filtration kits; storage containers,46026.48,0.00,2026-08-04,Active,High
